अँग	a mq g a
हँसना	h a mq s a n a aa
हँसने	h a mq s a n a ee
हँसा	h a mq s a aa
हँसी	h a mq s a ii
हंगरी	h a q g a r a ii
हंगामें	h a q g a aa m a ee q
हंस	h a q s a
हंसकर	h a q s a k a r a
हंसता	h a q s a t a aa
हंसती	h a q s a t a ii
हंसमुख	h a q s a m a u kh a
हंसी	h a q s a ii
हंसों	h a q s a o q
हक	h a k a
हकलाता	h a k a l a aa t a aa
हक़	h a kq a
हक़दार	h a kq a d a aa r a
हक़ीक	h a kq a ii k a
हक़ीक़त	h a kq a ii kq a t a
हकीम	h a k a ii m a
हकु	h a k a u
हङप	h a ng a p a
हज	h a j a
हजबैंड	h a j a b a ei q dx a
हजम	h a j a m a
हजयात्रा	h a j a y a aa t a r a aa
हज़रत	h a z a r a t a
हज़रात	h a z a r a aa t a
हज़ार	h a z a aa r a
हज़ारोँहज़ार	h a z a aa r a o mq h a z a aa r a
हज़ारों	h a z a aa r a o q
हजार	h a j a aa r a
हजारी	h a j a aa r a ii
हजारों	h a j a aa r a o q
हट	h a tx a
हटकर	h a tx a k a r a
हटती	h a tx a t a ii
हटने	h a tx a n a ee
हटवाकर	h a tx a w a aa k a r a
हटवाया	h a tx a w a aa y a aa
हटा	h a tx a aa
हटाई	h a tx a aa ii
हटाएंगे	h a tx a aa ee q g a ee
हटाएगा	h a tx a aa ee g a aa
हटाकर	h a tx a aa k a r a
हटानी	h a tx a aa n a ii
हटाने	h a tx a aa n a ee
हटी	h a tx a ii
हठ	h a txh a
हठात्	h a txh a aa t a
हड़ताल	h a dxq a t a aa l a
हड़बड़ाकर	h a dxq a b a dxq a aa k a r a
हड़बड़ाहट	h a dxq a b a dxq a aa h a tx a
हड़हा	h a dxq a h a aa
हड्डियाँ	h a dx a dx a i y a aa mq
हड्डी	h a dx a dx a ii
हड्डीपसली	h a dx a dx a ii p a s a l a ii
हतियार	h a t a i y a aa r a
हतो	h a t a o
हत्या	h a t a y a aa
हत्याकांड	h a t a y a aa k a aa q dx a
हथकंडे	h a th a k a q dx a ee
हथियार	h a th a i y a aa r a
हथियारों	h a th a i y a aa r a o q
हथेलीसा	h a th a ee l a ii s a aa
हथौड़ों	h a th a ou dxq a o q
हद	h a d a
हदीसों	h a d a ii s a o q
हनफ़ी	h a n a f a ii
हनीफ़	h a n a ii f a
हनुमानजी	h a n a u m a aa n a j a ii
हफ़्ता	h a f a t a aa
हफ़्ते	h a f a t a ee
हफ़्तों	h a f a t a o q
हफ्ते	h a ph a t a ee
हम	h a m a
हमको	h a m a k a o
हमजोली	h a m a j a o l a ii
हमदर्दी	h a m a d a r a d a ii
हमने	h a m a n a ee
हमला	h a m a l a aa
हमलावर	h a m a l a aa w a r a
हमलावरों	h a m a l a aa w a r a o q
हमले	h a m a l a ee
हमलों	h a m a l a o q
हमलोग	h a m a l a o g a
हमशक्ल़	h a m a sh a k a l a
हमसे	h a m a s a ee
हमारा	h a m a aa r a aa
हमारी	h a m a aa r a ii
हमारे	h a m a aa r a ee
हमें	h a m a ee q
हमेशा	h a m a ee sh a aa
हम्ज़ा	h a m a z a aa
हम्मीर	h a m a m a ii r a
हय	h a y a
हर	h a r a
हरकत	h a r a k a t a
हरकतें	h a r a k a t a ee q
हरकतों	h a r a k a t a o q
हरक़टी	h a r a kq a tx a ii
हरक़तों	h a r a kq a t a o q
हरबर्ट	h a r a b a r a tx a
हरबिंदर	h a r a b a i q d a r a
हरभजन	h a r a bh a j a n a
हरसंभव	h a r a s a q bh a w a
हरा	h a r a aa
हराकर	h a r a aa k a r a
हराम	h a r a aa m a
हराया	h a r a aa y a aa
हरिऔध	h a r a i ou dh a
हरिदत्त	h a r a i d a t a t a
हरिदेव	h a r a i d a ee w a
हरिनारायण	h a r a i n a aa r a aa y a nx a
हरिमंदिर	h a r a i m a q d a i r a
हरियाणा	h a r a i y a aa nx a aa
हरिलाल	h a r a i l a aa l a
हरिवंश	h a r a i w a q sh a
हरी	h a r a ii
हरूफ़ों	h a r a uu f a o q
हरेक	h a r a ee k a
हरेभरे	h a r a ee bh a r a ee
हर्ज़न	h a r a z a n a
हर्रा	h a r a r a aa
हर्ष	h a r a sx a
हर्षनाद	h a r a sx a n a aa d a
हल	h a l a
हलक	h a l a k a
हलवाई	h a l a w a aa ii
हलवाही	h a l a w a aa h a ii
हल्का	h a l a k a aa
हल्कासा	h a l a k a aa s a aa
हल्की	h a l a k a ii
हल्कीसी	h a l a k a ii s a ii
हल्के	h a l a k a ee
हवलदार	h a w a l a d a aa r a
हवा	h a w a aa
हवाई	h a w a aa ii
हवाओं	h a w a aa o q
हवाले	h a w a aa l a ee
हवेली	h a w a ee l a ii
हश्र	h a sh a r a
हसन	h a s a n a
हसनैन	h a s a n a ei n a
हसी	h a s a ii
हसीन	h a s a ii n a
हस्तक्षेप	h a s a t a k a sx a ee p a
हस्ताक्षर	h a s a t a aa k a sx a r a
हस्तिनापुर	h a s a t a i n a aa p a u r a
हस्पताल	h a s a p a t a aa l a
हा	h a aa
हाँ	h a aa mq
हाँगकाँग	h a aa mq g a k a aa mq g a
हाँफता	h a aa mq ph a t a aa
हां	h a aa q
हांलाकि	h a aa q l a aa k a i
हाइपर	h a aa i p a r a
हाइबरनेट	h a aa i b a r a n a ee tx a
हाई	h a aa ii
हाउस	h a aa u s a
हाऊस	h a aa uu s a
हाकिमोँ	h a aa k a i m a o mq
हाज़रीन	h a aa z a r a ii n a
हाज़िर	h a aa z a i r a
हाजियों	h a aa j a i y a o q
हाड़	h a aa dxq a
हाथ	h a aa th a
हाथपाँव	h a aa th a p a aa mq w a
हाथापाई	h a aa th a aa p a aa ii
हाथापायी	h a aa th a aa p a aa y a ii
हाथी	h a aa th a ii
हाथोँ	h a aa th a o mq
हाथों	h a aa th a o q
हादसा	h a aa d a s a aa
हादसे	h a aa d a s a ee
हादसों	h a aa d a s a o q
हानि	h a aa n a i
हामिद	h a aa m a i d a
हामी	h a aa m a ii
हाम्सुन	h a aa m a s a u n a
हाय	h a aa y a
हायर	h a aa y a r a
हायहैलो	h a aa y a h a ei l a o
हार	h a aa r a
हारकर	h a aa r a k a r a
हारते	h a aa r a t a ee
हारने	h a aa r a n a ee
हारी	h a aa r a ii
हारीत	h a aa r a ii t a
हारे	h a aa r a ee
हार्ट	h a aa r a tx a
हार्टिकल्चर	h a aa r a tx a i k a l a c a r a
हार्डिंग	h a aa r a dx a i q g a
हार्मिसन	h a aa r a m a i s a n a
हार्वर्ड	h a aa r a w a r a dx a
हाल	h a aa l a
हालचाल	h a aa l a c a aa l a
हालत	h a aa l a t a
हालनुमा	h a aa l a n a u m a aa
हालाँकि	h a aa l a aa mq k a i
हालांकि	h a aa l a aa q k a i
हालाकि	h a aa l a aa k a i
हालात	h a aa l a aa t a
हालिया	h a aa l a i y a aa
हावी	h a aa w a ii
हाशिये	h a aa sh a i y a ee
हासिल	h a aa s a i l a
हास्यरसयुक्त	h a aa s a y a r a s a y a u k a t a
हास्यहीन	h a aa s a y a h a ii n a
हास्यास्पद	h a aa s a y a aa s a p a d a
हाहाहाहा	h a aa h a aa h a aa h a aa
हिंजड़े	h a i q j a dxq a ee
हिंदी	h a i q d a ii
हिंदुत्व	h a i q d a u t a w a
हिंदुस्तान	h a i q d a u s a t a aa n a
हिंदुस्तानियों	h a i q d a u s a t a aa n a i y a o q
हिंदुस्तानी	h a i q d a u s a t a aa n a ii
हिंदू	h a i q d a uu
हिंदूसिख	h a i q d a uu s a i kh a
हिंसक	h a i q s a k a
हिंसा	h a i q s a aa
हिकी	h a i k a ii
हिग्गिंस	h a i g a g a i q s a
हिचकिचाये	h a i c a k a i c a aa y a ee
हिचकिचाहट	h a i c a k a i c a aa h a tx a
हिचकियाँ	h a i c a k a i y a aa mq
हिट	h a i tx a
हिटलर	h a i tx a l a r a
हिटलिस्ट	h a i tx a l a i s a tx a
हित	h a i t a
हितैषियों	h a i t a ei sx a i y a o q
हितों	h a i t a o q
हिदायतें	h a i d a aa y a t a ee q
हिन्दी	h a i n a d a ii
हिन्दीजगत्	h a i n a d a ii j a g a t a
हिन्दुओं	h a i n a d a u o q
हिन्दुस्तान	h a i n a d a u s a t a aa n a
हिन्दुस्तानियों	h a i n a d a u s a t a aa n a i y a o q
हिन्दुस्तानी	h a i n a d a u s a t a aa n a ii
हिन्दू	h a i n a d a uu
हिन्दूदर्शन	h a i n a d a uu d a r a sh a n a
हिन्दूमन्दिरों	h a i n a d a uu m a n a d a i r a o q
हिपॉक्रॅटीज़	h a i p a k a r a tx a ii z a
हिपोक्रेटीज़्म	h a i p a o k a r a ee tx a ii z a m a
हिमकणों	h a i m a k a nx a o q
हिमांशु	h a i m a aa q sh a u
हिमालय	h a i m a aa l a y a
हिमेनेझ	h a i m a ee n a ee jh a
हिम्मत	h a i m a m a t a
हिम्म्त	h a i m a m a t a
हिरण	h a i r a nx a
हिरणों	h a i r a nx a o q
हिरण्यकशिपु	h a i r a nx a y a k a sh a i p a u
हिरण्याक्ष	h a i r a nx a y a aa k a sx a
हिरन	h a i r a n a
हिरना	h a i r a n a aa
हिरनियों	h a i r a n a i y a o q
हिरनों	h a i r a n a o q
हिरानी	h a i r a aa n a ii
हिरावल	h a i r a aa w a l a
हिरासत	h a i r a aa s a t a
हिलते	h a i l a t a ee
हिला	h a i l a aa
हिलाता	h a i l a aa t a aa
हिलाया	h a i l a aa y a aa
हिलाल	h a i l a aa l a
हिले	h a i l a ee
हिलेरी	h a i l a ee r a ii
हिलैरी	h a i l a ei r a ii
हिलोरें	h a i l a o r a ee q
हिलोरों	h a i l a o r a o q
हिसाब	h a i s a aa b a
हिसाबकिताब	h a i s a aa b a k a i t a aa b a
हिस्ट्री	h a i s a tx a r a ii
हिस्सा	h a i s a s a aa
हिस्साबांट	h a i s a s a aa b a aa q tx a
हिस्से	h a i s a s a ee
हिस्सेदारी	h a i s a s a ee d a aa r a ii
हिस्सों	h a i s a s a o q
ही	h a ii
हीटर	h a ii tx a r a
हीनभावना	h a ii n a bh a aa w a n a aa
हीमोफोलिया	h a ii m a o ph a o l a i y a aa
हीरा	h a ii r a aa
हीरे	h a ii r a ee
हीरोंजटित	h a ii r a o q j a tx a i t a
हीरोनद्वितीय	h a ii r a o n a d a w a i t a ii y a
हीहीखीखी	h a ii h a ii kh a ii kh a ii
हुआ	h a u aa
हुआकहकर	h a u aa k a h a k a r a
हुआन	h a u aa n a
हुइ	h a u i
हुई	h a u ii
हुईं	h a u ii q
हुईतूने	h a u ii t a uu n a ee
हुए	h a u ee
हुक	h a u k a
हुक़ूमत	h a u kq a uu m a t a
हुकूमत	h a u k a uu m a t a
हुक्का	h a u k a k a aa
हुक्म	h a u k a m a
हुजूर	h a u j a uu r a
हुतासन	h a u t a aa s a n a
हुमचहुमचकर	h a u m a c a h a u m a c a k a r a
हुमायूँ	h a u m a aa y a uu mq
हुयी	h a u y a ii
हुयीं	h a u y a ii q
हुर्रररररर	h a u r a r a r a r a r a r a r a
हुर्रहुर्र	h a u r a r a h a u r a r a
हुर्रियत	h a u r a r a i y a t a
हुवा	h a u w a aa
हुसैन	h a u s a ei n a
हुसैनअली	h a u s a ei n a a l a ii
हुस्नइश्क़	h a u s a n a i sh a kq a
हूँ	h a uu mq
हूं	h a uu q
हून	h a uu n a
हृदय	h a rq d a y a
हृदयगत	h a rq d a y a g a t a
हृदयों	h a rq d a y a o q
हे	h a ee
हें	h a ee q
हेट	h a ee tx a
हेडक्लर्क	h a ee dx a k a l a r a k a
हेडन	h a ee dx a n a
हेडमास्टर	h a ee dx a m a aa s a tx a r a
हेडिंग	h a ee dx a i q g a
हेडेन	h a ee dx a ee n a
हेतु	h a ee t a u
हेनरी	h a ee n a r a ii
हेमरोम	h a ee m a r a o m a
हेमलोक	h a ee m a l a o k a
हेयर	h a ee y a r a
हेर	h a ee r a
हेरिंग	h a ee r a i q g a
हेलिकॉप्टर	h a ee l a i k a p a tx a r a
हेलीकॉप्टर	h a ee l a ii k a p a tx a r a
हेल्थ	h a ee l a th a
है	h a ei
हैँ	h a ei mq
हैं	h a ei q
हैंकिन्	h a ei q k a i n a
हैंकॅलशियम	h a ei q k a l a sh a i y a m a
हैंखुले	h a ei q kh a u l a ee
हैंडरब्	h a ei q dx a r a b a
हैंडिल	h a ei q dx a i l a
हैंपुल्लिग	h a ei q p a u l a l a i g a
हैः	h a ei hq
हैअक्सर	h a ei a k a s a r a
हैआवाप	h a ei aa w a aa p a
हैउन्होंने	h a ei u n a h a o q n a ee
हैकिड्ढा	h a ei k a i dx a dxh a aa
हैगाँवभर	h a ei g a aa mq w a bh a r a
हैज	h a ei j a
हैजिन	h a ei j a i n a
हैट	h a ei tx a
हैडमास्टर	h a ei dx a m a aa s a tx a r a
हैण्डसम	h a ei nx a dx a s a m a
हैम	h a ei m a
हैमगरमच्छ	h a ei m a g a r a m a c a ch a
हैमर	h a ei m a r a
हैमैं	h a ei m a ei q
हैम्म	h a ei m a m a
हैरत	h a ei r a t a
हैरतंगेज़	h a ei r a t a q g a ee z a
हैरान	h a ei r a aa n a
हैलो	h a ei l a o
हैल्थ	h a ei l a th a
हैसियत	h a ei s a i y a t a
हॉकर	h a k a r a
हॉकी	h a k a ii
हॉट	h a tx a
हॉबी	h a b a ii
हॉरमोनों	h a r a m a o n a o q
हॉल	h a l a
हॉलैंड	h a l a ei q dx a
हॉस्टल	h a s a tx a l a
हॉस्पिटल	h a s a p a i tx a l a
हो	h a o
होँ	h a o mq
हों	h a o q
होंगी	h a o q g a ii
होंगे	h a o q g a ee
होंठ	h a o q txh a
होंडा	h a o q dx a aa
होऊँगी	h a o uu mq g a ii
होऊंगी	h a o uu q g a ii
होकर	h a o k a r a
होगा	h a o g a aa
होगी	h a o g a ii
होगे	h a o g a ee
होङ	h a o ng a
होटल	h a o tx a l a
होटलो	h a o tx a l a o
होटेल	h a o tx a ee l a
होठों	h a o txh a o q
होत	h a o t a
होता	h a o t a aa
होती	h a o t a ii
होतीं	h a o t a ii q
होते	h a o t a ee
होतें	h a o t a ee q
होतेहोते	h a o t a ee h a o t a ee
होनहार	h a o n a h a aa r a
होना	h a o n a aa
होनायह	h a o n a aa y a h a
