<HI> अँग	a mq g a
<MR> बचावफळीही	b a c a aa w a ph a lx a ii h a ii
<MR> बचावाची	b a c a aa w a aa c a ii
<MR> बचावून	b a c a aa w a uu n a
<MR> बछड्याला	b a ch a dx a y a aa l a aa
<MR> बछड्यावर	b a ch a dx a y a aa w a r a
<MR> बजरंग	b a j a r a q g a
<MR> बजरंगानं	b a j a r a q g a aa n a q
<MR> बजावत	b a j a aa w a t a
<MR> बजावताना	b a j a aa w a t a aa n a aa
<MR> बजावलं	b a j a aa w a l a q
<MR> बजावली	b a j a aa w a l a ii
<MR> बजावले	b a j a aa w a l a ee
<MR> बजावून	b a j a aa w a uu n a
<MR> बटण	b a tx a nx a
<MR> बटणे	b a tx a nx a ee
<MR> बटाईचा	b a tx a aa ii c a aa
<MR> बटाईचे	b a tx a aa ii c a ee
<MR> बटालियनने	b a tx a aa l a i y a n a n a ee
<MR> बडगा	b a dx a g a aa
<MR> बडबड	b a dx a b a dx a
<MR> बडबडत	b a dx a b a dx a t a
<MR> बडबडायचा	b a dx a b a dx a aa y a c a aa
<MR> बडवून	b a dx a w a uu n a
<MR> बडे	b a dx a ee
<MR> बडोदा	b a dx a o d a aa
<MR> बड्या	b a dx a y a aa
<MR> बड्याबड्या	b a dx a y a aa b a dx a y a aa
<MR> बत्ती	b a t a t a ii
<MR> बत्तीवर	b a t a t a ii w a r a
<MR> बत्तीस	b a t a t a ii s a
<MR> बत्तीसच्या	b a t a t a ii s a c a y a aa
<MR> बदकांचे	b a d a k a aa q c a ee
<MR> बदनाम	b a d a n a aa m a
<MR> बदनामी	b a d a n a aa m a ii
<MR> बदनामीचा	b a d a n a aa m a ii c a aa
<MR> बदल	b a d a l a
<MR> बदलणार्	b a d a l a nx a aa r a
<MR> बदलणे	b a d a l a nx a ee
<MR> बदलत	b a d a l a t a
<MR> बदलतात	b a d a l a t a aa t a
<MR> बदलतोय	b a d a l a t a o y a
<MR> बदलत्या	b a d a l a t a y a aa
<MR> बदलला	b a d a l a l a aa
<MR> बदलली	b a d a l a l a ii
<MR> बदलले	b a d a l a l a ee
<MR> बदललेलं	b a d a l a l a ee l a q
<MR> बदलल्या	b a d a l a l a y a aa
<MR> बदला	b a d a l a aa
<MR> बदलात	b a d a l a aa t a
<MR> बदलामुळे	b a d a l a aa m a u lx a ee
<MR> बदलाला	b a d a l a aa l a aa
<MR> बदलावास	b a d a l a aa w a aa s a
<MR> बदली	b a d a l a ii
<MR> बदलू	b a d a l a uu
<MR> बदलून	b a d a l a uu n a
<MR> बदलेली	b a d a l a ee l a ii
<MR> बदलेल्या	b a d a l a ee l a y a aa
<MR> बदल्यांमुळे	b a d a l a y a aa q m a u lx a ee
<MR> बदल्यात	b a d a l a y a aa t a
<MR> बद्कन	b a d a k a n a
<MR> बद्दल	b a d a d a l a
<MR> बधिर	b a dh a i r a
<MR> बनणं	b a n a nx a q
<MR> बनत	b a n a t a
<MR> बनतं	b a n a t a q
<MR> बनते	b a n a t a ee
<MR> बनतो	b a n a t a o
<MR> बनला	b a n a l a aa
<MR> बनली	b a n a l a ii
<MR> बनले	b a n a l a ee
<MR> बनलेली	b a n a l a ee l a ii
<MR> बनलेले	b a n a l a ee l a ee
<MR> बनलो	b a n a l a o
<MR> बनल्या	b a n a l a y a aa
<MR> बनवणाऱ्या	b a n a w a nx a aa y a aa
<MR> बनवण्याची	b a n a w a nx a y a aa c a ii
<MR> बनवण्याचे	b a n a w a nx a y a aa c a ee
<MR> बनवण्यासाठी	b a n a w a nx a y a aa s a aa txh a ii
<MR> बनवत	b a n a w a t a
<MR> बनवतात	b a n a w a t a aa t a
<MR> बनवतोच	b a n a w a t a o c a
<MR> बनवल	b a n a w a l a
<MR> बनवलंत	b a n a w a l a q t a
<MR> बनवले	b a n a w a l a ee
<MR> बनवलेल्या	b a n a w a l a ee l a y a aa
<MR> बनवल्या	b a n a w a l a y a aa
<MR> बनवायच्या	b a n a w a aa y a c a y a aa
<MR> बनवायला	b a n a w a aa y a l a aa
<MR> बनविणे	b a n a w a i nx a ee
<MR> बनविले	b a n a w a i l a ee
<MR> बनवीन	b a n a w a ii n a
<MR> बनवू	b a n a w a uu
<MR> बनवून	b a n a w a uu n a
<MR> बनायला	b a n a aa y a l a aa
<MR> बनारस	b a n a aa r a s a
<MR> बनावट	b a n a aa w a tx a
<MR> बनावे	b a n a aa w a ee
<MR> बनियन	b a n a i y a n a
<MR> बनिया	b a n a i y a aa
<MR> बनून	b a n a uu n a
<MR> बनेल	b a n a ee l a
<MR> बफरमध्ये	b a ph a r a m a dh a y a ee
<MR> बर	b a r a
<MR> बरं	b a r a q
<MR> बरंच	b a r a q c a
<MR> बरबटलेले	b a r a b a tx a l a ee l a ee
<MR> बरबटायला	b a r a b a tx a aa y a l a aa
<MR> बरबटून	b a r a b a tx a uu n a
<MR> बरबाद	b a r a b a aa d a
<MR> बरबादी	b a r a b a aa d a ii
<MR> बरवाईट	b a r a w a aa ii tx a
<MR> बरसला	b a r a s a l a aa
<MR> बरा	b a r a aa
<MR> बराकीकरणाच्या	b a r a aa k a ii k a r a nx a aa c a y a aa
<MR> बराच	b a r a aa c a
<MR> बराचसा	b a r a aa c a s a aa
<MR> बराबर	b a r a aa b a r a
<MR> बरी	b a r a ii
<MR> बरीच	b a r a ii c a
<MR> बरीचशी	b a r a ii c a sh a ii
<MR> बरे	b a r a ee
<MR> बरेच	b a r a ee c a
<MR> बरेचदा	b a r a ee c a d a aa
<MR> बरोबर	b a r a o b a r a
<MR> बरोबरचा	b a r a o b a r a c a aa
<MR> बरोबरची	b a r a o b a r a c a ii
<MR> बरोबरी	b a r a o b a r a ii
<MR> बरोबरीची	b a r a o b a r a ii c a ii
<MR> बरोबरीनं	b a r a o b a r a ii n a q
<MR> बरोबरीनंतर	b a r a o b a r a ii n a q t a r a
<MR> बरोबरीने	b a r a o b a r a ii n a ee
<MR> बर्	b a r a
<MR> बर्टन	b a r a tx a n a
<MR> बर्फ	b a r a ph a
<MR> बर्मन	b a r a m a n a
<MR> बऱ्याच	b a y a aa c a
<MR> बऱ्यापैकी	b a y a aa p a ei k a ii
<MR> बलबीर	b a l a b a ii r a
<MR> बलवन्त	b a l a w a n a t a
<MR> बलवानांचाही	b a l a w a aa n a aa q c a aa h a ii
<MR> बलस्थान	b a l a s a th a aa n a
<MR> बलात्कार	b a l a aa t a k a aa r a
<MR> बलात्कारित	b a l a aa t a k a aa r a i t a
<MR> बलिदानाने	b a l a i d a aa n a aa n a ee
<MR> बलिप्रतिपदा	b a l a i p a r a t a i p a d a aa
<MR> बली	b a l a ii
<MR> बलीचक्रवर्तीला	b a l a ii c a k a r a w a r a t a ii l a aa
<MR> बलीची	b a l a ii c a ii
<MR> बल्लाळांची	b a l a l a aa lx a aa q c a ii
<MR> बळ	b a lx a
<MR> बळकट	b a lx a k a tx a
<MR> बळजबरी	b a lx a j a b a r a ii
<MR> बळाचा	b a lx a aa c a aa
<MR> बळात	b a lx a aa t a
<MR> बळावर	b a lx a aa w a r a
<MR> बळावरच	b a lx a aa w a r a c a
<MR> बळावली	b a lx a aa w a l a ii
<MR> बळावले	b a lx a aa w a l a ee
<MR> बळी	b a lx a ii
<MR> बशी	b a sh a ii
<MR> बश्या	b a sh a y a aa
<MR> बस	b a s a
<MR> बसंत	b a s a q t a
<MR> बसंतकुमार	b a s a q t a k a u m a aa r a
<MR> बसचं	b a s a c a q
<MR> बसची	b a s a c a ii
<MR> बसच्या	b a s a c a y a aa
<MR> बसणं	b a s a nx a q
<MR> बसणार	b a s a nx a aa r a
<MR> बसणे	b a s a nx a ee
<MR> बसण्याने	b a s a nx a y a aa n a ee
<MR> बसण्याशिवाय	b a s a nx a y a aa sh a i w a aa y a
<MR> बसत	b a s a t a
<MR> बसतं	b a s a t a q
<MR> बसतबिसत	b a s a t a b a i s a t a
<MR> बसता	b a s a t a aa
<MR> बसतात	b a s a t a aa t a
<MR> बसतील	b a s a t a ii l a
<MR> बसते	b a s a t a ee
<MR> बसतो	b a s a t a o
<MR> बसतोच	b a s a t a o c a
<MR> बसमध्ये	b a s a m a dh a y a ee
<MR> बसला	b a s a l a aa
<MR> बसलाय	b a s a l a aa y a
<MR> बसली	b a s a l a ii
<MR> बसले	b a s a l a ee
<MR> बसलेला	b a s a l a ee l a aa
<MR> बसलेली	b a s a l a ee l a ii
<MR> बसलेले	b a s a l a ee l a ee
<MR> बसलेल्या	b a s a l a ee l a y a aa
<MR> बसलो	b a s a l a o
<MR> बसल्या	b a s a l a y a aa
<MR> बसल्यात	b a s a l a y a aa t a
<MR> बसल्यावर	b a s a l a y a aa w a r a
<MR> बसवण्यासाठी	b a s a w a nx a y a aa s a aa txh a ii
<MR> बसवलं	b a s a w a l a q
<MR> बसवायचा	b a s a w a aa y a c a aa
<MR> बसविण्यात	b a s a w a i nx a y a aa t a
<MR> बसविले	b a s a w a i l a ee
<MR> बसवून	b a s a w a uu n a
<MR> बसा	b a s a aa
<MR> बसायचं	b a s a aa y a c a q
<MR> बसायचा	b a s a aa y a c a aa
<MR> बसायला	b a s a aa y a l a aa
<MR> बसावा	b a s a aa w a aa
<MR> बसु	b a s a u
<MR> बसू	b a s a uu
<MR> बसूच	b a s a uu c a
<MR> बसून	b a s a uu n a
<MR> बसूनच	b a s a uu n a c a
<MR> बसे	b a s a ee
<MR> बसेल	b a s a ee l a
<MR> बसेस	b a s a ee s a
<MR> बस्	b a s a
<MR> बस्तान	b a s a t a aa n a
<MR> बस्स	b a s a s a
<MR> बहरत	b a h a r a t a
<MR> बहाणा	b a h a aa nx a aa
<MR> बहात्तर	b a h a aa t a t a r a
<MR> बहारीनला	b a h a aa r a ii n a l a aa
<MR> बहाल	b a h a aa l a
<MR> बहिणाबाई	b a h a i nx a aa b a aa ii
<MR> बहिणी	b a h a i nx a ii
<MR> बहिणींची	b a h a i nx a ii q c a ii
<MR> बहिणीकडे	b a h a i nx a ii k a dx a ee
<MR> बहिणीची	b a h a i nx a ii c a ii
<MR> बहिणीने	b a h a i nx a ii n a ee
<MR> बहिणीमुळे	b a h a i nx a ii m a u lx a ee
<MR> बहिणीला	b a h a i nx a ii l a aa
<MR> बहिरंगाला	b a h a i r a q g a aa l a aa
<MR> बहिरोजी	b a h a i r a o j a ii
<MR> बहिष्कृत	b a h a i sx a k a rq t a
<MR> बहीण	b a h a ii nx a
<MR> बहुजन	b a h a u j a n a
<MR> बहुतांश	b a h a u t a aa q sh a
<MR> बहुतांशी	b a h a u t a aa q sh a ii
<MR> बहुतेक	b a h a u t a ee k a
<MR> बहुतेकजण	b a h a u t a ee k a j a nx a
<MR> बहुदा	b a h a u d a aa
<MR> बहुधा	b a h a u dh a aa
<MR> बहुपर्यायी	b a h a u p a r a y a aa y a ii
<MR> बहुरूपी	b a h a u r a uu p a ii
<MR> बहुश्रुत	b a h a u sh a r a u t a
<MR> बहुसंख्य	b a h a u s a q kh a y a
<MR> बहूतेक	b a h a uu t a ee k a
<MR> बा	b a aa
<MR> बाँब	b a aa mq b a
<MR> बांगडया	b a aa q g a dx a y a aa
<MR> बांगड्या	b a aa q g a dx a y a aa
<MR> बांधकाम	b a aa q dh a k a aa m a
<MR> बांधकामाच्या	b a aa q dh a k a aa m a aa c a y a aa
<MR> बांधकामातले	b a aa q dh a k a aa m a aa t a l a ee
<MR> बांधकामासाठी	b a aa q dh a k a aa m a aa s a aa txh a ii
<MR> बांधकामे	b a aa q dh a k a aa m a ee
<MR> बांधणं	b a aa q dh a nx a q
<MR> बांधणी	b a aa q dh a nx a ii
<MR> बांधण्याचे	b a aa q dh a nx a y a aa c a ee
<MR> बांधण्यासाठी	b a aa q dh a nx a y a aa s a aa txh a ii
<MR> बांधतात	b a aa q dh a t a aa t a
<MR> बांधलंय	b a aa q dh a l a q y a
<MR> बांधला	b a aa q dh a l a aa
<MR> बांधली	b a aa q dh a l a ii
<MR> बांधले	b a aa q dh a l a ee
<MR> बांधलेला	b a aa q dh a l a ee l a aa
<MR> बांधलेली	b a aa q dh a l a ee l a ii
<MR> बांधलेले	b a aa q dh a l a ee l a ee
<MR> बांधलेल्या	b a aa q dh a l a ee l a y a aa
<MR> बांधल्या	b a aa q dh a l a y a aa
<MR> बांधव	b a aa q dh a w a
<MR> बांधवांनी	b a aa q dh a w a aa q n a ii
<MR> बांधवांनीही	b a aa q dh a w a aa q n a ii h a ii
<MR> बांधा	b a aa q dh a aa
<MR> बांधायच्या	b a aa q dh a aa y a c a y a aa
<MR> बांधायला	b a aa q dh a aa y a l a aa
<MR> बांधिलकी	b a aa q dh a i l a k a ii
<MR> बांधुन	b a aa q dh a u n a
<MR> बांधू	b a aa q dh a uu
<MR> बांधून	b a aa q dh a uu n a
<MR> बांधेसूद	b a aa q dh a ee s a uu d a
<MR> बांबू	b a aa q b a uu
<MR> बांबूला	b a aa q b a uu l a aa
<MR> बाई	b a aa ii
<MR> बाईकडे	b a aa ii k a dx a ee
<MR> बाईचं	b a aa ii c a q
<MR> बाईचा	b a aa ii c a aa
<MR> बाईजी	b a aa ii j a ii
<MR> बाईट	b a aa ii tx a
<MR> बाईन	b a aa ii n a
<MR> बाईनं	b a aa ii n a q
<MR> बाईना	b a aa ii n a aa
<MR> बाईने	b a aa ii n a ee
<MR> बाईला	b a aa ii l a aa
<MR> बाईशी	b a aa ii sh a ii
<MR> बाईसाहेब	b a aa ii s a aa h a ee b a
<MR> बाऊ	b a aa uu
<MR> बाकावर	b a aa k a aa w a r a
<MR> बाकी	b a aa k a ii
<MR> बाकीचं	b a aa k a ii c a q
<MR> बाकीचा	b a aa k a ii c a aa
<MR> बाकीची	b a aa k a ii c a ii
<MR> बाकीचे	b a aa k a ii c a ee
<MR> बाकीच्या	b a aa k a ii c a y a aa
<MR> बाकीच्यांना	b a aa k a ii c a y a aa q n a aa
<MR> बाख्तीन	b a aa kh a t a ii n a
<MR> बाख्तीनचा	b a aa kh a t a ii n a c a aa
<MR> बाख्तीनच्या	b a aa kh a t a ii n a c a y a aa
<MR> बाख्तीनने	b a aa kh a t a ii n a n a ee
<MR> बाख्तीनला	b a aa kh a t a ii n a l a aa
<MR> बाग	b a aa g a
<MR> बागडणारे	b a aa g a dx a nx a aa r a ee
<MR> बागबगीचा	b a aa g a b a g a ii c a aa
<MR> बागवे	b a aa g a w a ee
<MR> बागा	b a aa g a aa
<MR> बागेत	b a aa g a ee t a
<MR> बागेतला	b a aa g a ee t a l a aa
<MR> बागेतील	b a aa g a ee t a ii l a
<MR> बाजार	b a aa j a aa r a
<MR> बाजारात	b a aa j a aa r a aa t a
<MR> बाजी	b a aa j a ii
<MR> बाजुंनी	b a aa j a u q n a ii
<MR> बाजुच्या	b a aa j a u c a y a aa
<MR> बाजुने	b a aa j a u n a ee
<MR> बाजुला	b a aa j a u l a aa
<MR> बाजू	b a aa j a uu
<MR> बाजूंना	b a aa j a uu q n a aa
<MR> बाजूंनी	b a aa j a uu q n a ii
<MR> बाजूंस	b a aa j a uu q s a
<MR> बाजूच	b a aa j a uu c a
<MR> बाजूचा	b a aa j a uu c a aa
<MR> बाजूची	b a aa j a uu c a ii
<MR> बाजूच्या	b a aa j a uu c a y a aa
<MR> बाजूनं	b a aa j a uu n a q
<MR> बाजूने	b a aa j a uu n a ee
<MR> बाजूला	b a aa j a uu l a aa
<MR> बाजूलाच	b a aa j a uu l a aa c a
<MR> बाजूवर	b a aa j a uu w a r a
<MR> बाजूस	b a aa j a uu s a
<MR> बाटली	b a aa tx a l a ii
<MR> बाटलीतनं	b a aa tx a l a ii t a n a q
<MR> बाटलीतून	b a aa tx a l a ii t a uu n a
<MR> बाटल्यांपैकी	b a aa tx a l a y a aa q p a ei k a ii
<MR> बाड	b a aa dx a
<MR> बाण	b a aa nx a
<MR> बाणांनी	b a aa nx a aa q n a ii
<MR> बाणाने	b a aa nx a aa n a ee
<MR> बातमी	b a aa t a m a ii
<MR> बातमीत	b a aa t a m a ii t a
<MR> बातमीदार	b a aa t a m a ii d a aa r a
<MR> बातम्या	b a aa t a m a y a aa
<MR> बातम्यांसारखे	b a aa t a m a y a aa q s a aa r a kh a ee
<MR> बातम्याही	b a aa t a m a y a aa h a ii
<MR> बाथरूममध्ये	b a aa th a r a uu m a m a dh a y a ee
<MR> बादल्या	b a aa d a l a y a aa
<MR> बादशहा	b a aa d a sh a h a aa
<MR> बादशहांचाही	b a aa d a sh a h a aa q c a aa h a ii
<MR> बादशहाचं	b a aa d a sh a h a aa c a q
<MR> बादशहाचा	b a aa d a sh a h a aa c a aa
<MR> बादशहाचे	b a aa d a sh a h a aa c a ee
<MR> बादशहाने	b a aa d a sh a h a aa n a ee
<MR> बादशहाला	b a aa d a sh a h a aa l a aa
<MR> बादशाही	b a aa d a sh a aa h a ii
<MR> बाधा	b a aa dh a aa
<MR> बानूबाईची	b a aa n a uu b a aa ii c a ii
<MR> बाप	b a aa p a
<MR> बापडा	b a aa p a dx a aa
<MR> बापाचे	b a aa p a aa c a ee
<MR> बापाच्या	b a aa p a aa c a y a aa
